name	x	y	z	size	type
A1	-2.15877013422999	-90.0893876453374	-10.5125820599346	n/a	ECOG
A2	-2.57555038421071	-70.7176381002337	11.1790621137509	n/a	ECOG
A3	-1.99478321931407	-81.0113641214051	17.3439618759107	n/a	ECOG
A4	-1.41198604860141	-75.4853841589601	21.0805718073109	n/a	ECOG
A5	-2.199737816689	-64.706509501822	28.8033315293741	n/a	ECOG
A6	-3.23002835698176	-64.3880056061201	37.7578802992034	n/a	ECOG
A7	-8.30779000032668	-58.8691363443464	52.9366895611654	n/a	ECOG
A8	-5.61345772479205	-57.2476899268643	56.5318532751711	n/a	ECOG
A9	-5.2359815389518	-54.1489909613693	63.3257443600853	n/a	ECOG
A10	-7.91400031507415	-50.12348844541	68.809810320963	n/a	ECOG
A12	-13.2664927092175	-70.054492174699	-10.3656593872797	n/a	ECOG
A13	-18.250546259528	-61.3944047095792	-8.00649165016093	n/a	ECOG
A14	-26.5590864053509	-31.5831973005461	-18.2651028863536	n/a	ECOG
A15	-19.2358910042168	-26.7035580731078	-22.1740058150067	n/a	ECOG
A16	-22.5564077550133	-13.1700510594669	-23.5389659439957	n/a	ECOG
A17	-20.4598895783392	-6.99639703817416	-33.6849233268891	n/a	ECOG
A18	-21.8297986094584	1.02870236473387	-34.607132435485	n/a	ECOG
A21	-16.1735034104162	-9.33163123606835	-26.3082951436907	n/a	ECOG
A22	-17.3760739345679	-10.1498403229569	-29.8894241704237	n/a	ECOG
A23	-34.3902768679113	-14.6567093539558	-33.0652503634459	n/a	ECOG
A24	-39.3968837302803	-8.76225034537531	-35.7932487295778	n/a	ECOG
A25	-44.3615067693211	-8.57313827931031	-41.3666004027296	n/a	ECOG
A27	-24.0624787925874	-44.741915743783	-17.0835747757214	n/a	ECOG
A28	-28.8643514210746	-38.6665004691822	-22.703976201051	n/a	ECOG
A29	-31.4293343089571	-33.3788192685018	-25.5740998805769	n/a	ECOG
A30	-55.2172471270465	-36.2009231605786	-24.9489702384744	n/a	ECOG
A31	-56.9665362902136	-30.8355882900673	-21.4619979784793	n/a	ECOG
A32	-65.5737994200431	-25.5764113970251	-12.0645338060472	n/a	ECOG
A33	-17.1096798866387	-70.2189715366236	-11.8082290674816	n/a	ECOG
A34	-31.6048858834593	-50.4768849776095	-17.4032126093871	n/a	ECOG
A35	-31.9209170335091	-43.9487088657866	-20.8210249369576	n/a	ECOG
