name	x	y	z	size	type
A1	-1.28078517399946	-69.3068053226343	4.13507746571562	n/a	ECOG
A2	-3.14642755354009	-68.9773372701351	16.4796081283749	n/a	ECOG
A3	-3.6275355437458	-56.3661949746561	20.7615018556582	n/a	ECOG
A4	-2.36778700751746	-46.393100784609	22.4888249538089	n/a	ECOG
A5	-3.76166751600752	-40.2689749954531	32.9183638169461	n/a	ECOG
A6	-4.29911944038116	-30.4557348750582	40.0021725942624	n/a	ECOG
A7	-5.72516101934766	-33.98522002841	49.8621791532376	n/a	ECOG
A8	-6.59420952676927	-24.2267109717299	58.8005078104518	n/a	ECOG
A9	-3.56751699511637	-20.239946719304	61.4673383751172	n/a	ECOG
A10	-6.06317070306548	-7.88429066233537	59.3785763094089	n/a	ECOG
A11	-30.368281853439	-17.9583118224304	-28.7515650256368	n/a	ECOG
A12	-27.4913868449678	-13.9727655018736	-31.6143652115892	n/a	ECOG
A13	-17.3760739345679	-10.1498403229569	-29.8894241704237	n/a	ECOG
A14	-17.6110854705708	-6.39911929255714	-30.8984217317312	n/a	ECOG
A15	-24.280646532814	2.26424056188291	-38.397302018236	n/a	ECOG
A16	-24.4771282093637	11.3882837353137	-37.884285710482	n/a	ECOG
A17	-36.9577714830437	17.9582827011211	-36.454956767063	n/a	ECOG
A18	-35.9699423642767	19.7947505301277	-34.5692148426235	n/a	ECOG
A19	-19.9804776748555	-5.90580707073412	-33.5056874729643	n/a	ECOG
A20	-29.7547979060435	-2.28071524350835	-41.3499189594448	n/a	ECOG
A21	-34.222856220783	-3.03449290847693	-44.4720195027806	n/a	ECOG
A22	-39.6708334826783	-7.61945200963133	-42.4868610497289	n/a	ECOG
A23	-47.6187348410587	4.51996721499287	-34.8912397768674	n/a	ECOG
A24	-52.2191797218067	5.73355318490891	-32.1750325977402	n/a	ECOG
A25	-10.1549843167299	-51.9304271109152	-3.36969047351357	n/a	ECOG
A26	-13.0914406382798	-46.1405004949378	-7.62657965019645	n/a	ECOG
A27	-17.0287834333893	-46.3092703492849	-10.0832979786316	n/a	ECOG
A28	-24.430406434744	-53.984810218555	-15.2878647266618	n/a	ECOG
A29	-26.6391084107777	-44.7356197485188	-19.0716002240277	n/a	ECOG
A30	-32.5300865314151	-42.0709190061428	-22.0369238123798	n/a	ECOG
A31	-53.148830934819	-32.4598426665236	-25.7972752993539	n/a	ECOG
A32	-50.1828298120691	-33.055031466004	-24.3845904062258	n/a	ECOG
A33	-1.06153039636579	-78.8478727199887	-2.29741191781695	n/a	ECOG
A34	-2.24839086390082	-87.3137598280939	-11.0075281422598	n/a	ECOG
A35	-4.66633441895883	-94.0857541897153	-9.75166433733082	n/a	ECOG
A36	-10.1480774284478	-95.8390909694185	-12.0119168868401	n/a	ECOG
A37	-17.4501994663837	-95.7799913649591	-14.5206103198855	n/a	ECOG
A38	-25.3483842200081	-95.5264052627871	-11.965242521563	n/a	ECOG
A39	-27.8207835511073	-93.2153761076447	-1.79117662820953	n/a	ECOG
A40	-52.0337678512471	-21.5466847061311	-3.90863960792448	n/a	ECOG
A41	-9.39692852528603	-95.7113248889078	-8.76826817077341	n/a	ECOG
A42	-59.8064949342868	-14.7803289957495	-12.0648658099341	n/a	ECOG
A43	-12.0485328861931	-102.247327832728	1.81964212391844	n/a	ECOG
A44	-18.4428075028746	-100.526664559793	3.55116788003869	n/a	ECOG
A45	-30.6861220865442	-91.5174174110361	14.2342982811978	n/a	ECOG
A46	-37.3371724890383	-84.3932638053126	26.9609134210036	n/a	ECOG
A47	-43.5588128915569	-78.5180213108959	-0.475696162503188	n/a	ECOG
A48	-63.145632468614	-52.0974962989756	0.49151543143671	n/a	ECOG
A49	-63.6128437656684	-41.4674863687298	-5.82416775097708	n/a	ECOG
A50	-61.7929241641256	-37.0729361412509	-3.76754741752473	n/a	ECOG
A51	-65.6264066888182	-31.5040474942867	-10.5189200596821	n/a	ECOG
A52	-42.5939823547466	-78.2248754514144	-3.07730703706597	n/a	ECOG
A53	-56.8141815211149	-45.3099947206126	-17.4564848134982	n/a	ECOG
A54	-54.569578229661	-40.0629824004717	-18.7464317824216	n/a	ECOG
A55	-53.8817646820273	-34.8598490337397	-17.4614171591381	n/a	ECOG
A56	-56.9077430008242	-27.0318685659626	-15.880921113251	n/a	ECOG
B1	-12.0602090830771	-69.1372002313601	55.018040317817	n/a	ECOG
B2	-19.6543993213833	-64.9955406598597	58.4861246326626	n/a	ECOG
B3	-20.1554835226712	-55.904426702717	65.7198483793528	n/a	ECOG
B4	-22.0763693911917	-52.270363458211	64.1246752975771	n/a	ECOG
B5	-10.3706013921123	-11.9834562194827	70.633660274224	n/a	ECOG
B6	-16.3113912508792	-30.6469569916693	70.5425592972928	n/a	ECOG
B7	-13.6891845165483	-41.6335579686517	56.3443664038741	n/a	ECOG
B8	-16.9861465468503	-2.6051230926812	69.3125755130845	n/a	ECOG
B9	-12.7452781462829	-67.9674049761471	52.5898759521894	n/a	ECOG
B10	-17.8694083482627	-65.8272408299798	54.174737328651	n/a	ECOG
B11	-26.6171312140138	-55.4429675518266	66.2721893899393	n/a	ECOG
B12	-37.2411797913929	-43.7656106705634	47.1813771753503	n/a	ECOG
B13	-35.9414688763202	-42.2127938558591	48.2639383764075	n/a	ECOG
B14	-28.4206450340732	-31.0306247455162	63.9303155732635	n/a	ECOG
B15	-32.2013610763038	-21.6772965380009	67.3529751464024	n/a	ECOG
B16	-18.3767135476106	-5.5302120252346	66.8277023520246	n/a	ECOG
B17	-35.3331410696042	-75.5893083277965	44.5357887664897	n/a	ECOG
B18	-39.605545296125	-66.6179205644851	49.549479752099	n/a	ECOG
B19	-32.6646328356442	-55.1222869309803	59.0154113974347	n/a	ECOG
B20	-35.8604925526869	-41.6880211017276	41.9930645475452	n/a	ECOG
B21	-44.963624086316	-41.0384491478837	43.27407374158	n/a	ECOG
B22	-35.631074694179	-30.5890114438614	60.2696383457056	n/a	ECOG
B23	-27.065366705312	-25.5300375599189	52.8536215097312	n/a	ECOG
B24	-39.0309186756211	-14.3809225310615	62.9122640801756	n/a	ECOG
B25	-37.4170442465968	-78.4517632375628	36.7615894471239	n/a	ECOG
B26	-42.7190104106929	-67.3471667936184	43.3987501458034	n/a	ECOG
B27	-40.9116836509449	-69.3636094778176	40.4473632198052	n/a	ECOG
B28	-52.8451100701454	-57.8017300445761	35.5018439056089	n/a	ECOG
B29	-56.6249531713908	-39.5668683045662	47.4063901350802	n/a	ECOG
B30	-53.8961002196242	-34.9782298363295	46.444507432464	n/a	ECOG
B31	-50.8199959735742	-4.2331185544491	48.4031304557852	n/a	ECOG
B32	-48.2596673632628	-1.26359635876576	49.4082247279634	n/a	ECOG
B33	-31.4725903856674	-91.1408938977542	14.0877330293691	n/a	ECOG
B34	-43.2609632338453	-68.8555426680802	32.2204573266458	n/a	ECOG
B35	-56.2029796472332	-54.6087818068946	25.1955046480934	n/a	ECOG
B36	-60.8431618351264	-50.555323009363	26.6453289704035	n/a	ECOG
B37	-58.9914773288189	-39.0439939114871	38.4497162441279	n/a	ECOG
B38	-61.6095562416435	-33.2029952516492	36.5701520497367	n/a	ECOG
B39	-56.3827931960957	2.37120566518802	35.2915430517005	n/a	ECOG
B40	-48.830728277424	-0.165483098035255	46.7501044715011	n/a	ECOG
B41	-40.6311343404271	-84.2694310642729	19.6519526150603	n/a	ECOG
B42	-53.3805546114109	-63.8895782931539	7.39874483882043	n/a	ECOG
B43	-54.4733717259145	-58.9159194562259	10.6777616779676	n/a	ECOG
B44	-60.4666275408444	-51.8818206198263	17.602507635891	n/a	ECOG
B45	-61.7433796645811	-48.1650144385011	20.8806403438517	n/a	ECOG
B46	-64.041652341497	-30.687923823107	27.2464827639945	n/a	ECOG
B47	-62.9316984855089	-27.171485619257	28.1219343883079	n/a	ECOG
B48	-56.4879877282469	-3.73607211140978	19.1838936293685	n/a	ECOG
B49	-48.0474723751913	-77.59250356687	12.1218189933456	n/a	ECOG
B50	-56.0419953135036	-62.5435586609296	5.85301306513232	n/a	ECOG
B51	-56.0966284860701	-58.755284615331	9.64304808571141	n/a	ECOG
B52	-60.978792026699	-48.6349229940632	14.0470165514806	n/a	ECOG
B53	-63.4618107072459	-45.9491377056045	17.3155704477489	n/a	ECOG
B54	-61.1585546096699	-24.7101082936229	21.0340962345968	n/a	ECOG
B55	-59.7847868464937	-23.5034232990854	24.6181119553995	n/a	ECOG
B56	-62.3185711188604	-6.5766544037386	12.4613270061928	n/a	ECOG
B57	-43.384941611834	-85.0423899452158	3.14394352718783	n/a	ECOG
B58	-56.5579265799298	-61.1880393853924	2.0623860308988	n/a	ECOG
B59	-63.8055458555286	-50.0659560401968	2.37586222274945	n/a	ECOG
B60	-63.3250761556945	-41.8335369417331	-0.957869729170288	n/a	ECOG
B61	-64.0051538429004	-39.6450699172564	15.4705304542644	n/a	ECOG
B62	-65.885290273884	-29.4628485718029	8.49625578277163	n/a	ECOG
B63	-56.2253194104905	-17.783755621174	21.4145630702076	n/a	ECOG
