name	x	y	z	size	type
A1	-2.48002607890424	41.0369059223457	-22.5088284614102	n/a	ECOG
A2	-3.67423268516592	32.7796735917162	-25.6155153031317	n/a	ECOG
A3	-14.123276284237	27.5328259461678	-24.8365611185163	n/a	ECOG
A4	-21.060684338512	28.1590079761992	-14.4905155194686	n/a	ECOG
A5	-32.0164181254854	29.2941338507121	-17.8382219013752	n/a	ECOG
A6	-42.7663434265444	23.0819409120803	-14.1584310169988	n/a	ECOG
A7	-4.91786975989606	-89.0666725977955	30.6921956830377	n/a	ECOG
A8	-9.73365574991143	-77.2744799108313	48.3515007415874	n/a	ECOG
A9	-4.65962736152438	-72.8958491203769	49.424218724398	n/a	ECOG
A10	-6.13311722290596	-64.5160640153309	53.5895192472727	n/a	ECOG
A11	-4.35540603019247	-54.3524239508098	60.230706461964	n/a	ECOG
A12	-4.58413387032963	-48.3578774317799	53.6389664694767	n/a	ECOG
A13	-4.89667271719683	-39.664637388959	56.5554396789346	n/a	ECOG
A14	-2.55555351324529	-33.7111900303988	62.1252414344941	n/a	ECOG
A15	-1.90651559669699	-31.3832320334927	66.5532109868606	n/a	ECOG
A17	-25.6692852506702	-59.8054566044135	-12.5415817727979	n/a	ECOG
A18	-24.5993959580492	-51.8637652915596	-16.0272528193941	n/a	ECOG
A19	-20.8873743831711	-33.7057202076752	-18.2487799097228	n/a	ECOG
A20	-20.0254289012627	-24.8678607364629	-24.1910406311086	n/a	ECOG
A21	-18.8530947806851	-15.1156923956519	-28.9850234242894	n/a	ECOG
A22	-17.621624661772	-6.90479876493798	-30.9680068316876	n/a	ECOG
A23	-27.1739617648541	1.95872227474297	-40.8029233292445	n/a	ECOG
A24	-25.9815214528333	5.63884897737095	-41.0957632423247	n/a	ECOG
A25	-16.4871903285084	-11.3622646834626	-27.8114019905961	n/a	ECOG
A26	-20.7328053685643	-11.1220458375528	-32.7999289787856	n/a	ECOG
A27	-30.7437249138851	-4.13743069121152	-37.2941505752154	n/a	ECOG
A28	-37.7776144142919	-6.65618609298621	-42.9225421252667	n/a	ECOG
A29	-39.4456670300273	-0.894912896839974	-41.9534577836926	n/a	ECOG
A30	-52.7960199087258	0.817497262843703	-31.9221252895842	n/a	ECOG
A31	-26.4435800085132	-62.126476047183	-14.996327085303	n/a	ECOG
A32	-40.3992951322722	-51.8890621569333	-18.6592199344763	n/a	ECOG
A33	-51.6779519356337	-44.4436535995279	-23.577094104306	n/a	ECOG
A34	-51.1326961837359	-40.4346811140944	-24.6299964251934	n/a	ECOG
A35	-55.9537224891202	-28.2650756426306	-27.2898745299986	n/a	ECOG
A36	-61.9240437808453	-8.85420710929551	-20.608333953755	n/a	ECOG
A37	-2.45601033432348	-77.5008640980561	17.5105243809271	n/a	ECOG
A38	-7.17941341729172	-81.6301106651357	10.0660328633033	n/a	ECOG
A39	-1.59283673933695	-69.3616442737963	3.17761709842887	n/a	ECOG
A40	-6.05845813447947	-59.5623930195034	0.499011763668464	n/a	ECOG
A41	-13.1563565191807	-65.5971724875021	-7.72193456844195	n/a	ECOG
A42	-15.2880110708659	-63.5575479597053	-9.00970945226891	n/a	ECOG
A43	-27.8384654576346	-67.1090946376724	-11.1901998985534	n/a	ECOG
A44	-43.0611050695381	-57.1458381191996	-18.5688854182327	n/a	ECOG
A45	-42.0677926581978	-58.9552453060278	-12.8362984572231	n/a	ECOG
A46	-52.1356659780413	-55.2344735651208	-16.3080540004193	n/a	ECOG
A47	-3.29892981983596	-76.0317535144371	-2.53800658594392	n/a	ECOG
A48	-7.62481399083873	-86.2421611043431	-14.284277163666	n/a	ECOG
